name,latitude,longitude,district,neighborhood,district_id,neighborhood_id,bakery_type,is_chain,brand_name,street,house_number,postal_code,opening_hours,website,data_source,source_ids
Wiedemann,52.4720511,13.3350424,Tempelhof-Schöneberg,Friedenau,tempelhof-schöneberg,friedenau,artisanal,False,,Lauterstraße,16,12159,Mo-Fr 07:00-18:00; Sa 07:00-14:00; Su 08:00-12:00,https://baecker-wiedemann.de/,OSM,node/691484832
Tillmann,52.4979983,13.3261713,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,Ludwigkirchstraße,14,10719,Mo-Fr 07:00-18:00; Sa 08:00-14:00; Su 08:00-12:00,,OSM,node/692167744
Ralf Rajemann,52.5422177,13.4133545,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Pappelallee,85,10437,Mo-Fr 06:40-18:00; Sa 07:00-12:30,,OSM,node/692196581
Kiezbäckerei,52.5065722,13.5032721,Lichtenberg,Friedrichsfelde,lichtenberg,friedrichsfelde,artisanal,False,,Zachertstraße,14,10315,"Mo-Fr 05:30-18:00; Sa 05:30-17:00; PH,Su 06:30-16:00",,OSM,node/692987887
Bäckerei Viktoria,52.50439,13.4794124,Lichtenberg,Rummelsburg,lichtenberg,rummelsburg,artisanal,False,,Kaskelstraße,27,,Mo-Fr 06:00-17:30; Sa 06:00-16:30; Su 06:00-16:00,,OSM,node/698789139
Backhaus Liberda,52.4915181,13.428978,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,Liberdastraße,,,Sa 07:00-17:00; Mo-Fr 06:00-18:00; Su 08:00-16:00,,OSM,node/700730133
Steinecke,52.523227,13.4035939,Mitte,Mitte,mitte,mitte,chain,True,Steinecke,Dircksenstraße,52,10178,Mo-Fr 07:00-20:00; Sa 07:00-19:00; Su 07:00-18:00,,OSM,node/700843686
BioBackHaus,52.4908547,13.3262083,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,,,,"Mo-Fr 07:00-19:00; Sa,Su 07:00-18:00",,OSM,node/701825306
Czerr,52.4907082,13.3300881,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,Güntzelstraße,55,10717,Mo-Fr 06:30-18:00; Sa 07:00-13:00,https://www.czerr.de/,OSM,node/704002987
Mond & Stern,52.5309172,13.3458904,Mitte,Moabit,mitte,moabit,artisanal,False,,Birkenstraße,58,10559,"Mo-Fr 05:30-18:00; Sa 06:00-14:00; PH,Su 08:00-14:00",,OSM,node/704781852
Harmonie,52.4885941,13.3418879,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,artisanal,False,,Grunewaldstraße,60,10825,,,OSM,node/704913864
Wiedemann,52.502041,13.313474,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,artisanal,False,,Leibnizstraße,,10629,"Mo-Fr 06:30-18:00; Sa 06:30-12:00,12:30-14:00",,OSM,node/704913878
Sofra shqiptare,52.5508826,13.3787856,Mitte,Gesundbrunnen,mitte,gesundbrunnen,artisanal,False,,,,,"Mo-Su,PH 06:00-23:00",,OSM,node/707353011
