public_artwork_id,artwork_name,artwork_type,artist_name,street,neighbourhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
13076121345,urania,statue,carl philipp glume,am tierpark,1101,11011011,10319,sandstone,1989,,,,52.5063829,13.5229979
13076121346,vase mit blüten- und blattschmuck,sculpture,unknown,am tierpark,1101,11011011,10319,sandstone,1987..1990,,,,52.5049454,13.5235158
13076121347,vase mit blüten- und blattschmuck,sculpture,unknown,am tierpark,1101,11011011,10319,sandstone,1987..1990,,,,52.5049204,13.5233877
13076121348,vase mit blüten- und blattschmuck,sculpture,unknown,am tierpark,1101,11011011,10319,sandstone,1987..1990,,,,52.5060669,13.5228991
13076121349,vase mit blüten- und blattschmuck,sculpture,unknown,am tierpark,1101,11011011,10319,sandstone,1987..1990,,,,52.5060398,13.522771
13076121350,putte-der choleriker,statue,gottfried knöffler,am tierpark,1101,11011011,10319,sandstone,1987,,,,52.5056647,13.5229798
13076121351,putte-der sanguiniker,statue,gottfried knöffler,am tierpark,1101,11011011,10319,sandstone,1987,,,,52.5056913,13.5231079
13076121352,putte-der melancholiker,statue,gottfried knöffler,am tierpark,1101,11011011,10319,sandstone,1987,,,,52.5057491,13.5230713
13076121353,putte-der phlegmatiker,statue,gottfried knöffler,am tierpark,1101,11011011,10319,sandstone,1987,,,,52.5057228,13.5229459
13076121354,putte frühling-allegorie,statue,s. giebe,am tierpark,1101,11011011,10319,sandstone,1988,,,,52.5053249,13.5233091
13076121355,putte sommer-allegorie,statue,stephan schötschel,am tierpark,1101,11011011,10319,sandstone,1988,,,,52.5052975,13.5231826
13076121356,putte winter-allegorie,statue,burkhard bluhm,am tierpark,1101,11011011,10319,sandstone,1988,,,,52.5052402,13.5232106
13076121357,putte herbst-allegorie,statue,henry sawade,am tierpark,1101,11011011,10319,sandstone,1988,,,,52.5052666,13.5233399
13087297067,radschlagender pfau,sculpture,rudolf hilscher,alfred-kowalke-straße,1101,11011011,10315,bronze; glass,1983,,,,52.5062077,13.5262724
13087297068,bocksvase,sculpture,friedrich christian glume,am tierpark,1101,11011011,10319,sandstone,1956,,,,52.5039649,13.521432
13087297069,bocksvase,sculpture,friedrich christian glume,am tierpark,1101,11011011,10319,sandstone,1956,,,,52.5040104,13.5216579
13087297070,ziegen,statue,walter lerche,am tierpark,1101,11011011,10319,concrete,1956,,,,52.4994938,13.5285243
13087297075,fish,statue,edward chiwawa,am tierpark,1101,11011011,10319,stone,2014,,,,52.5029133,13.5299948
13087297076,giraffe,statue,sidney majengwa,gensinger straße,1101,11011011,10319,,2015,,,,52.5037571,13.5296183
13087297077,owl,sculpture,juju tembo,am tierpark,1101,11011011,10319,stone,2015,,,,52.5041012,13.5234056
13087297078,pelican,sculpture,tago tazvitya,enckevortweg,1101,11011011,10319,stone,2015,,,,52.5030552,13.5245458
13087297079,bird,statue,turai rukodzi,enckevortweg,1101,11011011,10319,stone,2016,,,,52.5019302,13.5251554
13087297080,elegant birds,statue,cosmos chingondi,enckevortweg,1101,11011011,10319,stone,2013,,,,52.5007627,13.5257879
13087297081,pelican family,statue,tawanda kapusi,am tierpark,1101,11011011,10319,stone,2016,,,,52.4993402,13.526558
13087483727,formengruppe,sculpture,alfred paul trenkel,goebelplatz,0406,11004004,13627,stone,,,,,52.5385622,13.2804745
13102373727,,sculpture,veronika hansen;gesine storck,bernkasteler straße,0302,11003003,13088,marble,,,Q116161479,file:skulptur steinquader veronika hansen gesine storck berlin-weißensee 01.jpg,52.5567023,13.470465
13102379788,,sculpture,wolfgang frankenstein,hansastraße,0302,11003003,13088,metal,,,Q135712611,file:skulptur sportler-aufmarsch wolfgang frankenstein sporthalle hansastraße berlin-weißensee 02.jpg,52.556757,13.4882678
13102379789,,sculpture,wolfgang frankenstein,hansastraße,0302,11003003,13088,metal,,,Q135712611,file:skulptur sportler-aufmarsch wolfgang frankenstein sporthalle hansastraße berlin-weißensee 04.jpg,52.5570865,13.4891835
13120886573,four parts of a cube,sculpture,ewerdt hilgemann,ebersstraße,0701,11007007,10827,steel,2016,,Q136100451,,52.4825459,13.3574933
13127609721,,sculpture,,hegemeisterweg,0912,11009009,12589,wood,,,,,52.4509013,13.6913612
13135941240,,sculpture,,adlergestell,0907,11009009,12489,metal,,,,,52.4274573,13.5535825
13138114982,,statue,,,0101,11001001,,,,,,,52.5118118,13.4038744
13140626953,anna elisabeth louise,bust,,spreeweg,0104,11001001,10557,marble,,,,,52.517222,13.3512069
13140626954,,bust,,bellevue-ufer,0104,11001001,10557,marble,,,,,52.5173014,13.3511535
13142891089,,sculpture,,gounodstraße,0302,11003003,13088,,,,,,52.5485522,13.4667257
13152260955,große stele ii,sculpture,rainer kriester,kaiserin-augusta-allee,0102,11001001,10553,concrete,,,,,52.5250482,13.3216408
13153415131,,mural,,hauptstraße,0701,11007007,10827,,,,,,52.4859577,13.3544254
13155212843,fußballer,sculpture,michael schönholtz,behmstraße,0106,11001001,13357,bronze,,,Q112678707,file:skulptur fußballer michael schoenholtz behmstraße berlin-gesundbrunnen.jpg,52.5503266,13.3939297
